id,season,name,games,defPD,defQB HUR,defSACKS,defSOLO,defTD,defTFL,defTOT,defINT,team_defPD,team_defQB HUR,team_defSACKS,team_defSOLO,team_defTD,team_defTFL,team_defTOT,ms.tck,tk.game,ms.sck,sk.game,ms.tfl,tfl.game,ms.qbhur
536830,2015,David Anaya,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0,,0.0,
536836,2014,Quinton McCown,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0,,0.0,
536839,2016,Steven Romero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
536843,2015,Reece White,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0,,0.0,
536844,2015,Justin Berger,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0,,0.0,
536845,2014,Jalen Claiborne,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0,,0.0,
536854,2016,Jake Maulhardt,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0,,0.0,
536899,2016,Alonzo Palmer-Hicks,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0,,0.0,
536912,2015,Spencer Goffigan,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0,,0.0,
536913,2015,Dalton Screws,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0,,0.0,
536996,2015,Montres Kitchens,6,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,,0.0,,0.0,,0.0,
537000,2013,Brandon Brown,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0,,0.0,
537007,2015,Anthony Lazard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
537012,2016,Nick Schuessler,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0,,0.0,
537013,2014,Alex Goode,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0,,0.0,
