id,season,name,games,completions,attempts,pass_yds,pass_tds,statINT,statCAR,rush_yds,rush_tds,statFUM,team_statCAR,team_rush_yds,team_rush_tds
503436,2010,Trevor Gillette,4,0,0,0,0,0,0,0,0,0,0,0,0
503438,2014,Mario Hull,24,0,0,0,0,0,2,-12,0,0,99,516,4
503441,2013,Klein Kubiak,16,0,0,0,0,0,0,0,0,0,0,0,0
503444,2012,Cameron Nwosu,2,0,0,0,0,0,0,0,0,0,0,0,0
503446,2014,James Radcliffe,1,0,0,0,0,0,0,0,0,0,0,0,0
503448,2014,Jordan Taylor,40,3,5,79,0,0,3,23,0,0,148,550,9
503451,2013,Kenneth Acker,6,0,0,0,0,0,0,0,0,0,0,0,0
503453,2014,John Bordano,1,0,0,0,0,0,0,0,0,0,0,0,0
503454,2011,Richard Crawford,5,0,0,0,0,0,0,0,0,0,0,0,0
503456,2010,Darryl Fields,3,0,0,0,0,0,8,28,0,0,90,503,4
503458,2014,Hayden Greenbauer,3,0,0,0,0,0,0,0,0,0,0,0,0
503461,2013,Keenan Holman,29,0,0,0,0,0,0,0,0,0,0,0,0
503463,2013,Jeremy Johnson,30,0,0,0,0,0,0,0,0,0,0,0,0
503464,2013,Randall Joyner,3,0,0,0,0,0,0,0,0,0,0,0,0
503465,2011,Stephen Kaiser,1,0,1,0,0,0,0,0,0,0,0,0,0
503467,2011,Niccolo Mastromatteo,0,0,0,0,0,0,0,0,0,0,0,0,0
503470,2011,Chris Parks,0,0,0,0,0,0,0,0,0,0,0,0,0
503471,2014,Kevin Pope,9,0,0,0,0,0,54,200,0,0,260,743,3
503473,2011,Justin Sorrell,0,0,0,0,0,0,0,0,0,0,0,0,0
503475,2014,Der'rikk Thompson,40,0,0,0,0,0,2,0,0,0,61,303,4
503480,2012,Reggie Hunt,3,0,0,0,0,0,6,39,0,0,97,538,5
503481,2011,Furious Bradley,0,0,0,0,0,0,0,0,0,0,0,0,0
503482,2014,Markese Triplett,30,0,0,0,0,0,0,0,0,0,0,0,0
503483,2011,Kelvin Bolden,22,0,0,0,0,0,8,31,1,0,277,1484,16
503485,2013,Zeke Walters,5,0,0,0,0,0,0,0,0,0,0,0,0
503488,2012,Arsenio Favor,10,38,70,658,3,3,54,174,3,0,418,1934,18
503489,2013,Dominique Sullivan,38,0,0,0,0,0,0,0,0,0,0,0,0
503490,2012,Blaine LeBlanc,2,0,0,0,0,0,1,0,0,0,34,58,0
503492,2013,Jeremy Hester,21,0,0,0,0,0,117,523,3,0,847,3881,32
503494,2011,Jamal Woodyard,12,0,0,0,0,0,110,732,3,0,456,2454,12
503498,2011,Jacorius Cotton,2,0,0,0,0,0,0,0,0,0,0,0,0
503499,2011,Marquese Wheaton,4,0,0,0,0,0,0,0,0,0,0,0,0
503500,2010,Alexander Walters,1,0,0,0,0,0,0,0,0,0,0,0,0
503502,2010,Alan Howze,0,0,0,0,0,0,0,0,0,0,0,0,0
503504,2010,Mujahid Asaad,1,0,0,0,0,0,0,0,0,0,0,0,0
503519,2013,Nic Bekkers,1,0,0,0,0,0,0,0,0,0,0,0,0
